value,unit,component_inchi_0
24.4,-,"InChI=1S/C9H18/c1-7-4-5-8(2)9(3)6-7/h7-9H,4-6H2,1-3H3"
30.5,-,"InChI=1S/C9H18/c1-7-4-8(2)6-9(3)5-7/h7-9H,4-6H2,1-3H3"
46.1,-,"InChI=1S/C9H18O/c1-3-4-5-6-7-8-9(2)10/h3-8H2,1-2H3"
43.0,-,"InChI=1S/C9H18O/c1-3-5-6-8-9(10)7-4-2/h3-8H2,1-2H3"
39.8,-,"InChI=1S/C9H18O2/c1-3-4-5-6-7-8-9(10)11-2/h3-8H2,1-2H3"
23.5,-,"InChI=1S/C9H18O2/c1-3-5-7-9(10)11-8-6-4-2/h3-8H2,1-2H3"
60.9,-,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3"
39.6,-,"InChI=1S/C9H20O/c1-3-4-5-6-7-8-9(2)10/h9-10H,3-8H2,1-2H3"
28.0,-,"InChI=1S/C9H20O/c1-3-5-6-8-9(10)7-4-2/h9-10H,3-8H2,1-2H3"
19.1,-,InChI=1S/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H/b7-4+
